date,PM25,HMS_Smoke,Background_PM25,Month,Month Number,Year,Fire_Season
2006-01-01,10.129987898447856,0.0,8.810803792326894,January,1,2006,False
2006-01-02,10.582376124676667,0.0,8.810803792326894,January,1,2006,False
2006-01-03,11.286818397005446,0.0,8.810803792326894,January,1,2006,False
2006-01-04,8.525418217646713,0.0,8.810803792326894,January,1,2006,False
2006-01-05,2.264996030213065,0.0,8.810803792326894,January,1,2006,False
2006-01-06,10.816834276638035,0.0,8.810803792326894,January,1,2006,False
2006-01-07,7.925770667060907,0.0,8.810803792326894,January,1,2006,False
2006-01-08,7.342241234123511,0.0,8.810803792326894,January,1,2006,False
2006-01-09,9.059816994873104,0.0,8.810803792326894,January,1,2006,False
2006-01-10,9.306162319411504,0.0,8.810803792326894,January,1,2006,False
2006-01-11,4.412466542805573,0.0,8.810803792326894,January,1,2006,False
2006-01-12,9.141494133679016,0.0,8.810803792326894,January,1,2006,False
2006-01-13,10.058893899943815,0.0,8.810803792326894,January,1,2006,False
2006-01-14,2.1620822497811902,0.0,8.810803792326894,January,1,2006,False
2006-01-15,6.5019954181665485,0.0,8.810803792326894,January,1,2006,False
2006-01-16,7.652246354016629,0.0,8.810803792326894,January,1,2006,False
2006-01-17,4.048920966265663,0.0,8.810803792326894,January,1,2006,False
2006-01-18,7.928328612581053,0.0,8.810803792326894,January,1,2006,False
2006-01-19,11.517762084193016,0.0,8.810803792326894,January,1,2006,False
2006-01-20,7.346019248886173,0.0,8.810803792326894,January,1,2006,False
2006-01-21,10.21266224298833,0.0,8.810803792326894,January,1,2006,False
2006-01-22,11.453380785536622,0.0,8.810803792326894,January,1,2006,False
2006-01-23,7.628193320959831,0.0,8.810803792326894,January,1,2006,False
2006-01-24,6.101592282112091,0.0,8.810803792326894,January,1,2006,False
2006-01-25,6.665282976739273,0.0,8.810803792326894,January,1,2006,False
2006-01-26,5.300850010406117,0.0,8.810803792326894,January,1,2006,False
2006-01-27,9.630464235069164,0.0,8.810803792326894,January,1,2006,False
2006-01-28,11.161913164080197,0.0,8.810803792326894,January,1,2006,False
2006-01-29,1.83790895387596,0.0,8.810803792326894,January,1,2006,False
2006-01-30,9.31599268902118,0.0,8.810803792326894,January,1,2006,False
2006-01-31,8.561790589780683,0.0,8.810803792326894,January,1,2006,False
2006-02-01,2.1014417674675188,0.0,8.810803792326894,February,2,2006,False
2006-02-02,5.776631941863339,0.0,8.810803792326894,February,2,2006,False
2006-02-03,7.113325817538921,0.0,8.810803792326894,February,2,2006,False
2006-02-04,5.887752850819945,0.0,8.810803792326894,February,2,2006,False
2006-02-05,7.2643941473100835,0.0,8.810803792326894,February,2,2006,False
2006-02-06,9.329586171785744,0.0,8.810803792326894,February,2,2006,False
2006-02-07,5.484579857257347,0.0,8.810803792326894,February,2,2006,False
2006-02-08,9.866528775040763,0.0,8.810803792326894,February,2,2006,False
2006-02-09,9.81550873458086,0.0,8.810803792326894,February,2,2006,False
2006-02-10,1.8768618806076531,0.0,8.810803792326894,February,2,2006,False
2006-02-11,8.210518944448319,0.0,8.810803792326894,February,2,2006,False
2006-02-12,8.024601034267143,0.0,8.810803792326894,February,2,2006,False
2006-02-13,3.1283377645330535,0.0,8.810803792326894,February,2,2006,False
2006-02-14,6.709512399711403,0.0,8.810803792326894,February,2,2006,False
2006-02-15,6.071655605318359,0.0,8.810803792326894,February,2,2006,False
2006-02-16,4.10571233619637,0.0,8.810803792326894,February,2,2006,False
2006-02-17,7.035720223780762,0.0,8.810803792326894,February,2,2006,False
2006-02-18,9.901431650980474,0.0,8.810803792326894,February,2,2006,False
2006-02-19,8.518300634038951,0.0,8.810803792326894,February,2,2006,False
2006-02-20,13.570372560493979,0.0,8.810803792326894,February,2,2006,False
2006-02-21,12.600810695969912,0.0,8.810803792326894,February,2,2006,False
2006-02-22,6.166587827219252,0.0,8.810803792326894,February,2,2006,False
2006-02-23,11.652772669841154,0.0,8.810803792326894,February,2,2006,False
2006-02-24,7.839014618891395,0.0,8.810803792326894,February,2,2006,False
2006-02-25,5.851165009638348,0.0,8.810803792326894,February,2,2006,False
2006-02-26,9.300363695947699,0.0,8.810803792326894,February,2,2006,False
2006-02-27,13.364685226559473,0.0,8.810803792326894,February,2,2006,False
2006-02-28,6.485989446168938,0.0,8.810803792326894,February,2,2006,False
2006-03-01,9.68557751715574,0.0,8.810803792326894,March,3,2006,False
2006-03-02,9.496955134325312,0.0,8.810803792326894,March,3,2006,False
2006-03-03,9.337323376157272,0.0,8.810803792326894,March,3,2006,False
2006-03-04,11.807053106424465,0.0,8.810803792326894,March,3,2006,False
2006-03-05,11.706312255164002,0.0,8.810803792326894,March,3,2006,False
2006-03-06,5.886534285241741,0.0,8.810803792326894,March,3,2006,False
2006-03-07,10.214990862010875,0.0,8.810803792326894,March,3,2006,False
2006-03-08,12.04055993701337,0.0,8.810803792326894,March,3,2006,False
2006-03-09,1.8357842479690676,0.0,8.810803792326894,March,3,2006,False
2006-03-10,6.8525203195117985,0.0,8.810803792326894,March,3,2006,False
2006-03-11,7.742686031844013,0.0,8.810803792326894,March,3,2006,False
2006-03-12,5.38816486975906,0.0,8.810803792326894,March,3,2006,False
2006-03-13,7.8658007331920485,0.0,8.810803792326894,March,3,2006,False
2006-03-14,10.351262220957423,0.0,8.810803792326894,March,3,2006,False
2006-03-15,9.525835772538505,0.0,8.810803792326894,March,3,2006,False
2006-03-16,10.38111920040118,0.0,8.810803792326894,March,3,2006,False
2006-03-17,13.785091339799816,0.0,8.810803792326894,March,3,2006,False
